,GEOID,geometry,minutes,count in 30,gravity_doc,fca_doc,2sfca_doc,2sfca30_doc,g2sfca_doc,3sfca_doc,raam_doc
196,17031040300,"POLYGON ((-87.70581954583277 41.983088066025196, -87.70401154451527 41.98309806625641, -87.69915654098149 41.98312106687585, -87.69909754299509 41.9812950662092, -87.69903754500724 41.97947006554303, -87.69901054601392 41.97855906521012, -87.6989515480285 41.97673306454344, -87.69892254903854 41.9758180642093, -87.69883855205673 41.97308606321127, -87.6987615546649 41.970723062348576, -87.69868855708268 41.96853206154885, -87.70109255877607 41.9685140612414, -87.70310955752383 41.970888061864926, -87.70367255653096 41.97212906225225, -87.70410955513798 41.97365106275898, -87.70474755321801 41.97577506346249, -87.70698154668122 41.98308006587603, -87.70581954583277 41.983088066025196))",29.37,15.0,,0.0014010219218724247,0.0010465756752096494,0.0014787970543512468,0.0023330290274235902,0.0015629389566363602,0.005219083023333949
203,17031081000,"POLYGON ((-87.63447759284271 41.90385304550254, -87.63300159195946 41.9038770456915, -87.63071559059146 41.903914045984095, -87.62998559015809 41.903923046076486, -87.62996259110763 41.90315404579281, -87.62992459270097 41.90186404531687, -87.62988859429687 41.900573044840314, -87.62982659692757 41.89844404405472, -87.62977459913733 41.89665604339494, -87.6312445999929 41.89663604320872, -87.63420260171391 41.89659604283409, -87.63429059879499 41.898982043711754, -87.63438159593208 41.90132504457302, -87.63444159402722 41.90288404514615, -87.63447759284271 41.90385304550254))",14.63,17.0,,0.004419889502762431,0.003814609155780169,0.004245327914215382,0.002300134354738731,0.00305872045499094,0.02015883103739723
204,17031081100,"POLYGON ((-87.62998559015809 41.903923046076486, -87.62867758937789 41.90394204624311, -87.6286275903049 41.90318004596528, -87.62834059114336 41.90238004570219, -87.62834459176815 41.90188404551687, -87.6283355921721 41.901558045396506, -87.62831659318785 41.90074004509402, -87.62831259337005 41.900593045039734, -87.62826459516634 41.899140044504165, -87.6282475959989 41.89846904425621, -87.62819859822051 41.89667704359443, -87.62977459913733 41.89665604339494, -87.62982659692757 41.89844404405472, -87.62988859429687 41.900573044840314, -87.62992459270097 41.90186404531687, -87.62996259110763 41.90315404579281, -87.62998559015809 41.903923046076486))",28.71,16.0,,0.004275198491358528,0.00402033613648316,0.00388982555474295,0.002814863707893057,0.0028626245827586046,0.078816999555772
249,17031283800,"POLYGON ((-87.6566806500308 41.86699702911251, -87.65104564704222 41.86708702982307, -87.65093665134181 41.86349902850319, -87.65082165571022 41.85985302716245, -87.6509406557719 41.85985102714745, -87.65343365706046 41.85981202683426, -87.65647865863308 41.85976502645198, -87.65652865644203 41.86160602712943, -87.65657365450036 41.8632380277299, -87.6566806500308 41.86699702911251))",22.65,7.0,102.69218016723626,0.0010661372743649132,0.00046284016719267464,0.00061671672246772,0.0004563727010319074,0.0007961917171275959,0.476098001856465
347,17031460302,"POLYGON ((-87.56138575997429 41.751794997260546, -87.55844475903221 41.751835997612794, -87.55407175763337 41.75189499813585, -87.55407676016114 41.75007799745164, -87.55404276263732 41.748259996974525, -87.55400776511286 41.746440996506394, -87.55397476758908 41.74462199603807, -87.552939767266 41.744636996161965, -87.55179876781257 41.74399399612776, -87.55152277037038 41.74206699566096, -87.5526007696485 41.74282299573114, -87.55637577081352 41.742772995278514, -87.56123177231245 41.74270799469594, -87.56126076984967 41.744525995168146, -87.56132376492589 41.748161996112074, -87.56135376246235 41.74998099658452, -87.56138575997429 41.751794997260546))",16.9,8.0,94.20856034952462,0.0014178112538768277,0.0006505080131708732,0.0006183663172756082,0.00036168563862090604,0.0006000158363429946,0.5817947337904484
419,17031440101,"POLYGON ((-87.60521477382922 41.75128599205048, -87.60336177324446 41.75130799227089, -87.60275677305376 41.75131499234278, -87.6015467726749 41.751326992485815, -87.59912777191732 41.7513509927718, -87.59723477132536 41.751368992995296, -87.59784877635732 41.74769099178515, -87.59826877889269 41.74586699124076, -87.59893777909967 41.74585899116124, -87.5988947796843 41.745406991043204, -87.6013917798505 41.74583599087128, -87.60508378098437 41.745797990434035, -87.60513477859412 41.74762699092908, -87.60518877620365 41.74945699142409, -87.60521477382922 41.75128599205048))",26.78,8.0,,0.0012846185816299542,0.0006008980854203526,0.0004716431746074635,0.0003335419825768252,0.000396282741316469,0.11154684224447643
420,17031010300,"POLYGON ((-87.67132948375384 42.019374082814956, -87.66949748231862 42.01936408303893, -87.66824248146379 42.019214083146736, -87.6643426968786 42.01927835919654, -87.66336390114348 42.01719708311024, -87.66235654752673 42.015055082554454, -87.66132495440465 42.012861539968725, -87.66345248346715 42.0128300817102, -87.66592348542457 42.01278708138788, -87.66629348571813 42.012780081339436, -87.67019748880811 42.01271408083075, -87.6703114859686 42.0159940818629, -87.6703284850339 42.01705608219958, -87.67036348389921 42.01835808261061, -87.67132948375384 42.019374082814956))",24.4,8.0,inf,0.0019219988788339874,0.0009361586262337966,0.0006019799018249516,0.0005711338781035165,0.0006432849142394881,0.04788950969080367
423,17031805107,"POLYGON ((-87.9986946846361 42.05137905655341, -87.99389668145706 42.05146105710661, -87.99114067964629 42.05147405741143, -87.98191467361717 42.05144705840529, -87.97493566904895 42.05144305916331, -87.97493166941734 42.05067005887465, -87.97487467161321 42.04601805714113, -87.97485267249762 42.04414605644348, -87.97481667394109 42.04109105530499, -87.96906967130369 42.038925055134484, -87.96698367035265 42.03814105507462, -87.96024266731182 42.03559605488129, -87.96008166800034 42.034007054309654, -87.9600826681901 42.033627054168534, -87.96000867040478 42.02908405249108, -87.95920766989468 42.029098052586946, -87.95920867006888 42.02875005245775, -87.9600036705704 42.028745052365856, -87.95994167202514 42.02574505125972, -87.95993467231206 42.02516005104345, -87.96596967387413 42.029644052024736, -87.96570067359255 42.02987305214039, -87.96558067346108 42.02998705219638, -87.96914767441754 42.03263205277943, -87.96925367453957 42.03251905272536, -87.96948667480756 42.03227105260667, -87.96983767490248 42.03253205266449, -87.9708766751846 42.03330505283606, -87.971107675248 42.03347605287394, -87.97153967536623 42.03379705294523, -87.97623267686542 42.036880053572084, -87.97880367788774 42.03817705377101, -87.97894467794646 42.038243053780036, -87.98385368001638 42.04051705408754, -87.99571468510935 42.04605205486388, -88.00699968878769 42.05127405544921, -87.9986946846361 42.05137905655341))",24.08,3.0,,0.0010140445165542768,0.0008945888327478969,0.0011343950729606948,0.0013267995595821406,0.001158985748416992,0.011510731837480172
530,17031260100,"POLYGON ((-87.7258726628058 41.88795702850816, -87.72098166005358 41.888018029123344, -87.7208196666151 41.88189702688988, -87.72082866782486 41.88078802648057, -87.72566967048586 41.88072702587316, -87.7258726628058 41.88795702850816))",28.35,10.0,,0.0009739239710964499,0.0005271956616473802,0.0005357952967672286,0.0006429511028867661,0.0005897891348852528,0.04157021742844064
573,17031431200,"POLYGON ((-87.5761417548562 41.758875998227055, -87.57490975444912 41.75889099837422, -87.57246075364084 41.75891999866644, -87.57124575324028 41.75893399881127, -87.566372751636 41.75898799939137, -87.56633475412752 41.757157998708315, -87.56630275657601 41.75536099803695, -87.5662687590487 41.75354599735905, -87.56623776090412 41.75218299685058, -87.56623276152514 41.75172799668024, -87.5711057630731 41.751667996099606, -87.57598176462362 41.75160599551792, -87.57606575973927 41.755241996872414, -87.5761417548562 41.758875998227055))",28.58,9.0,,0.0019063004846526655,0.0010108300177813154,0.0013971165520430563,0.0018615674627037377,0.0011345626095040718,0.06363153200200374
